"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Município";"Ano"
"Município";"2021"
"Alta Floresta D'Oeste (RO)";"22516"
"Ariquemes (RO)";"111148"
"Cabixi (RO)";"5067"
"Cacoal (RO)";"86416"
"Cerejeiras (RO)";"16088"
"Colorado do Oeste (RO)";"15213"
"Corumbiara (RO)";"7052"
"Costa Marques (RO)";"19255"
"Espigão D'Oeste (RO)";"33009"
"Guajará-Mirim (RO)";"46930"
"Jaru (RO)";"51469"
"Ji-Paraná (RO)";"131026"
"Machadinho D'Oeste (RO)";"41724"
"Nova Brasilândia D'Oeste (RO)";"20504"
"Ouro Preto do Oeste (RO)";"35445"
"Pimenta Bueno (RO)";"37098"
"Porto Velho (RO)";"548952"
"Presidente Médici (RO)";"18165"
"Rio Crespo (RO)";"3843"
"Rolim de Moura (RO)";"55748"
"Santa Luzia D'Oeste (RO)";"5942"
"Vilhena (RO)";"104517"
"São Miguel do Guaporé (RO)";"23147"
"Nova Mamoré (RO)";"32184"
"Alvorada D'Oeste (RO)";"13807"
"Alto Alegre dos Parecis (RO)";"13268"
"Alto Paraíso (RO)";"22258"
"Buritis (RO)";"41043"
"Novo Horizonte do Oeste (RO)";"8125"
"Cacaulândia (RO)";"6307"
"Campo Novo de Rondônia (RO)";"14391"
"Candeias do Jamari (RO)";"28068"
"Castanheiras (RO)";"2923"
"Chupinguaia (RO)";"11755"
"Cujubim (RO)";"27131"
"Governador Jorge Teixeira (RO)";"7130"
"Itapuã do Oeste (RO)";"10819"
"Ministro Andreazza (RO)";"9461"
"Mirante da Serra (RO)";"10691"
"Monte Negro (RO)";"16158"
"Nova União (RO)";"6822"
"Parecis (RO)";"6319"
"Pimenteiras do Oeste (RO)";"2127"
"Primavera de Rondônia (RO)";"2697"
"São Felipe D'Oeste (RO)";"4962"
"São Francisco do Guaporé (RO)";"21088"
"Seringueiras (RO)";"11846"
"Teixeirópolis (RO)";"4160"
"Theobroma (RO)";"10348"
"Urupá (RO)";"11081"
"Vale do Anari (RO)";"11545"
"Vale do Paraíso (RO)";"6490"
"Acrelândia (AC)";"15721"
"Assis Brasil (AC)";"7649"
"Brasiléia (AC)";"27123"
"Bujari (AC)";"10572"
"Capixaba (AC)";"12280"
"Cruzeiro do Sul (AC)";"89760"
"Epitaciolândia (AC)";"18979"
"Feijó (AC)";"34986"
"Jordão (AC)";"8628"
"Mâncio Lima (AC)";"19643"
"Manoel Urbano (AC)";"9701"
"Marechal Thaumaturgo (AC)";"19727"
"Plácido de Castro (AC)";"20147"
"Porto Walter (AC)";"12497"
"Rio Branco (AC)";"419452"
"Rodrigues Alves (AC)";"19767"
"Santa Rosa do Purus (AC)";"6893"
"Senador Guiomard (AC)";"23446"
"Sena Madureira (AC)";"47168"
"Tarauacá (AC)";"43730"
"Xapuri (AC)";"19866"
"Porto Acre (AC)";"19141"
"Alvarães (AM)";"16396"
"Amaturá (AM)";"11934"
"Anamã (AM)";"14292"
"Anori (AM)";"21937"
"Apuí (AM)";"22739"
"Atalaia do Norte (AM)";"20868"
"Autazes (AM)";"41005"
"Barcelos (AM)";"27772"
"Barreirinha (AM)";"32919"
"Benjamin Constant (AM)";"44873"
"Beruri (AM)";"20503"
"Boa Vista do Ramos (AM)";"20040"
"Boca do Acre (AM)";"34958"
"Borba (AM)";"42328"
"Caapiranga (AM)";"13482"
"Canutama (AM)";"15981"
"Carauari (AM)";"28719"
"Careiro (AM)";"38820"
"Careiro da Várzea (AM)";"31459"
